id,post_content,event_place,timestamp,sentiment,event_type,severity,hashtags,log_time
12,"🚨 Breaking: Violent clashes reported in Koramangala, Bangalore. Take shelter and stay away from the conflict zones. #BangaloreSecurity",Koramangala,2024-03-13 22:30:00,Negative,Violence,High,#BangaloreSecurity,2024-03-15 17:03:55
13,"🚑 Accident near Lalbagh, Bangalore causing delays. Drive carefully and follow traffic updates. #BangaloreTrafficUpdate",Lalbagh,2024-03-14 07:00:00,Negative,Accident,Medium,#BangaloreTrafficUpdate,2024-03-15 17:04:16
14,"⚠️ Unrest in Whitefield, Bangalore. Avoid unnecessary travel and stay updated on the situation. #BangaloreSafety",Whitefield,2024-03-14 08:00:00,Negative,Riot,High,#BangaloreSafety,2024-03-15 17:04:38
15,"🛑 Alert: Roadblock on Hosur Road, Bangalore. Seek alternate routes to avoid delays. #BangaloreTrafficAlert",Hosur Road,2024-03-14 09:00:00,Negative,Accident,Medium,#BangaloreTrafficAlert,2024-03-15 17:05:00
16,"🚧 Traffic congestion near Jayanagar, Bangalore due to an accident. Expect delays and plan accordingly. #BangaloreTraffic",Jayanagar,2024-03-14 10:00:00,Negative,Accident,Medium,#BangaloreTraffic,2024-03-15 17:05:22
17,"🆘 Critical incident unfolding in Yelahanka, Bangalore. Stay indoors and stay tuned for updates. #BangaloreEmergency",Yelahanka,2024-03-14 11:00:00,Negative,Violence,High,#BangaloreEmergency,2024-03-15 17:05:24
18,"🚨 Urgent: Violent clashes reported in Malleshwaram, Bangalore. Authorities on high alert. #BangaloreSecurity",Malleshwaram,2024-03-14 12:00:00,Negative,Violence,High,#BangaloreSecurity,2024-03-15 17:05:45
19,"⚠️ Unrest spreading to Marathahalli, Bangalore. Residents urged to exercise caution and avoid unnecessary travel. #BangaloreSafetyAlert",Marathahalli,2024-03-14 13:00:00,Negative,Riot,High,#BangaloreSafetyAlert,2024-03-15 17:06:07
20,"🚑 Accident near Ulsoor, Bangalore causing traffic disruptions. Drive safely and follow traffic updates. #BangaloreTrafficUpdate",Ulsoor,2024-03-14 14:00:00,Negative,Accident,Medium,#BangaloreTrafficUpdate,2024-03-15 17:06:29
21,"🚧 Road closure in Rajajinagar, Bangalore due to ongoing protests. Plan alternate routes. #BangaloreTrafficAlert",Rajajinagar,2024-03-14 15:00:00,Negative,Riot,High,#BangaloreTrafficAlert,2024-03-15 17:06:51
22,"🛑 Attention: Violent incident reported near Koramangala, Bangalore. Stay away from the area and stay safe. #BangaloreSecurity",Koramangala,2024-03-14 16:00:00,Negative,Violence,High,#BangaloreSecurity,2024-03-15 17:07:13
23,"⚠️ Riots escalating in JP Nagar, Bangalore. Residents advised to stay indoors until further notice. #BangaloreEmergency",JP Nagar,2024-03-14 17:00:00,Negative,Riot,High,#BangaloreEmergency,2024-03-15 17:07:35
24,"🚨 Breaking: Tense situation in Basavanagudi, Bangalore. Authorities responding, follow instructions for your safety. #BangaloreSecurityAlert",Basavanagudi,2024-03-14 18:00:00,Negative,Violence,High,#BangaloreSecurityAlert,2024-03-15 17:07:57
25,"🚑 Accident on Bannerghatta Road, Bangalore. Expect delays, and drive cautiously. #BangaloreTrafficUpdate",Bannerghatta Road,2024-03-14 19:00:00,Negative,Accident,Medium,#BangaloreTrafficUpdate,2024-03-15 17:08:19
26,"🚦 Traffic disruptions near Hebbal, Bangalore due to an accident. Seek alternative routes if possible. #BangaloreTraffic",Hebbal,2024-03-14 20:00:00,Negative,Accident,Medium,#BangaloreTraffic,2024-03-15 17:08:40
27,"⚠️ Reports of violence in Domlur, Bangalore. Stay indoors and avoid the affected areas. #BangaloreSafetyAlert",Domlur,2024-03-14 21:00:00,Negative,Violence,High,#BangaloreSafetyAlert,2024-03-15 17:09:02
28,"🛑 Alert: Roadblock in Bellandur, Bangalore. Plan your commute accordingly to avoid delays. #BangaloreTrafficAlert",Bellandur,2024-03-14 22:00:00,Neutral,Accident,Low,#BangaloreTrafficAlert,2024-03-15 17:09:04
29,"🆘 Emergency situation in HSR Layout, Bangalore. Take necessary precautions and stay updated on developments. #BangaloreEmergency",HSR Layout,2024-03-14 23:00:00,Negative,Violence,High,#BangaloreEmergency,2024-03-15 17:09:26
30,"🚨 Urgent: Violent clashes reported in BTM Layout, Bangalore. Residents advised to stay indoors. #BangaloreSecurity",BTM Layout,2024-03-15 00:00:00,Negative,Violence,High,#BangaloreSecurity,2024-03-15 17:09:48
31,"⚠️ Unrest in Vyalikaval, Bangalore. Exercise caution and avoid unnecessary travel in the area. #BangaloreSafetyAlert",Vyalikaval,2024-03-15 01:00:00,Negative,Riot,High,#BangaloreSafetyAlert,2024-03-15 17:10:10
32,"🚑 Accident near Wilson Garden, Bangalore causing traffic disruptions. Drive safely and follow traffic updates. #BangaloreTrafficUpdate",Wilson Garden,2024-03-15 02:00:00,Negative,Accident,Medium,#BangaloreTrafficUpdate,2024-03-15 17:10:32
33,"🚧 Road closure in Malleshwaram, Bangalore due to ongoing protests. Plan alternate routes. #BangaloreTrafficAlert",Malleshwaram,2024-03-15 03:00:00,Negative,Riot,High,#BangaloreTrafficAlert,2024-03-15 17:10:54
34,"🛑 Attention: Violent incident reported near Koramangala, Bangalore. Stay away from the area and stay safe. #BangaloreSecurity",Koramangala,2024-03-15 04:00:00,Negative,Violence,High,#BangaloreSecurity,2024-03-15 17:11:16
35,"⚠️ Riots escalating in JP Nagar, Bangalore. Residents advised to stay indoors until further notice. #BangaloreEmergency",JP Nagar,2024-03-15 05:00:00,Negative,Riot,High,#BangaloreEmergency,2024-03-15 17:11:38
36,"🚨 Breaking: Tense situation in Basavanagudi, Bangalore. Authorities responding, follow instructions for your safety. #BangaloreSecurityAlert",Basavanagudi,2024-03-15 06:00:00,Negative,Violence,High,#BangaloreSecurityAlert,2024-03-15 17:12:00
37,"🚑 Accident on Bannerghatta Road, Bangalore. Expect delays, and drive cautiously. #BangaloreTrafficUpdate",Bannerghatta Road,2024-03-15 07:00:00,Negative,Accident,Medium,#BangaloreTrafficUpdate,2024-03-15 17:12:22
38,"🚦 Traffic disruptions near Hebbal, Bangalore due to an accident. Seek alternative routes if possible. #BangaloreTraffic",Hebbal,2024-03-15 08:00:00,Negative,Accident,Medium,#BangaloreTraffic,2024-03-15 17:12:23
39,"⚠️ Reports of violence in Domlur, Bangalore. Stay indoors and avoid the affected areas. #BangaloreSafetyAlert",Domlur,2024-03-15 09:00:00,Negative,Violence,High,#BangaloreSafetyAlert,2024-03-15 17:12:45
40,"🛑 Alert: Roadblock in Bellandur, Bangalore. Plan your commute accordingly to avoid delays. #BangaloreTrafficAlert",Bellandur,2024-03-15 10:00:00,Neutral,Accident,Low,#BangaloreTrafficAlert,2024-03-15 17:13:07
41,"🆘 Emergency situation in HSR Layout, Bangalore. Take necessary precautions and stay updated on developments. #BangaloreEmergency",HSR Layout,2024-03-15 11:00:00,Negative,Violence,High,#BangaloreEmergency,2024-03-15 17:13:29
42,"🚨 Urgent: Violent clashes reported in BTM Layout, Bangalore. Residents advised to stay indoors. #BangaloreSecurity",BTM Layout,2024-03-15 12:00:00,Negative,Violence,High,#BangaloreSecurity,2024-03-15 17:13:51
43,"⚠️ Unrest in Vyalikaval, Bangalore. Exercise caution and avoid unnecessary travel in the area. #BangaloreSafetyAlert",Vyalikaval,2024-03-15 13:00:00,Negative,Riot,High,#BangaloreSafetyAlert,2024-03-15 17:14:14
44,"🚑 Accident near Wilson Garden, Bangalore causing traffic disruptions. Drive safely and follow traffic updates. #BangaloreTrafficUpdate",Wilson Garden,2024-03-15 14:00:00,Negative,Accident,Medium,#BangaloreTrafficUpdate,2024-03-15 17:14:35
45,"🚧 Road closure in Malleshwaram, Bangalore due to ongoing protests. Plan alternate routes. #BangaloreTrafficAlert",Malleshwaram,2024-03-15 15:00:00,Negative,Riot,High,#BangaloreTrafficAlert,2024-03-15 17:14:57
46,"🛑 Attention: Violent incident reported near Koramangala, Bangalore. Stay away from the area and stay safe. #BangaloreSecurity",Koramangala,2024-03-15 16:00:00,Negative,Violence,High,#BangaloreSecurity,2024-03-15 17:15:19
47,"⚠️ Riots escalating in JP Nagar, Bangalore. Residents advised to stay indoors until further notice. #BangaloreEmergency",JP Nagar,2024-03-15 17:00:00,Negative,Riot,High,#BangaloreEmergency,2024-03-15 17:15:41
48,"🚨 Breaking: Tense situation in Basavanagudi, Bangalore. Authorities responding, follow instructions for your safety. #BangaloreSecurityAlert",Basavanagudi,2024-03-15 18:00:00,Negative,Violence,High,#BangaloreSecurityAlert,2024-03-15 17:16:02
49,"🚑 Accident on Bannerghatta Road, Bangalore. Expect delays, and drive cautiously. #BangaloreTrafficUpdate",Bannerghatta Road,2024-03-15 19:00:00,Negative,Accident,Medium,#BangaloreTrafficUpdate,2024-03-15 17:16:04
50,"🚦 Traffic disruptions near Hebbal, Bangalore due to an accident. Seek alternative routes if possible. #BangaloreTraffic",Hebbal,2024-03-15 20:00:00,Negative,Accident,Medium,#BangaloreTraffic,2024-03-15 17:16:26
51,"⚠️ Reports of violence in Domlur, Bangalore. Stay indoors and avoid the affected areas. #BangaloreSafetyAlert",Domlur,2024-03-15 21:00:00,Negative,Violence,High,#BangaloreSafetyAlert,2024-03-15 17:16:47
52,"🛑 Alert: Roadblock in Bellandur, Bangalore. Plan your commute accordingly to avoid delays. #BangaloreTrafficAlert",Bellandur,2024-03-15 22:00:00,Neutral,Accident,Low,#BangaloreTrafficAlert,2024-03-15 17:17:09
53,"🆘 Emergency situation in HSR Layout, Bangalore. Take necessary precautions and stay updated on developments. #BangaloreEmergency",HSR Layout,2024-03-15 23:00:00,Negative,Violence,High,#BangaloreEmergency,2024-03-15 17:17:31
54,"🚨 Urgent: Violent clashes reported in BTM Layout, Bangalore. Residents advised to stay indoors. #BangaloreSecurity",BTM Layout,2024-03-16 00:00:00,Negative,Violence,High,#BangaloreSecurity,2024-03-15 17:17:53
55,"⚠️ Unrest in Vyalikaval, Bangalore. Exercise caution and avoid unnecessary travel in the area. #BangaloreSafetyAlert",Vyalikaval,2024-03-16 01:00:00,Negative,Riot,High,#BangaloreSafetyAlert,2024-03-15 17:18:15
56,"🚑 Accident near Wilson Garden, Bangalore causing traffic disruptions. Drive safely and follow traffic updates. #BangaloreTrafficUpdate",Wilson Garden,2024-03-16 02:00:00,Negative,Accident,Medium,#BangaloreTrafficUpdate,2024-03-15 17:18:37
57,"🚧 Road closure in Malleshwaram, Bangalore due to ongoing protests. Plan alternate routes. #BangaloreTrafficAlert",Malleshwaram,2024-03-16 03:00:00,Negative,Riot,High,#BangaloreTrafficAlert,2024-03-15 17:18:59
58,"🛑 Attention: Violent incident reported near Koramangala, Bangalore. Stay away from the area and stay safe. #BangaloreSecurity",Koramangala,2024-03-16 04:00:00,Negative,Violence,High,#BangaloreSecurity,2024-03-15 17:19:21
59,"⚠️ Riots escalating in JP Nagar, Bangalore. Residents advised to stay indoors until further notice. #BangaloreEmergency",JP Nagar,2024-03-16 05:00:00,Negative,Riot,High,#BangaloreEmergency,2024-03-15 17:19:22
60,"🚨 Breaking: Tense situation in Basavanagudi, Bangalore. Authorities responding, follow instructions for your safety. #BangaloreSecurityAlert",Basavanagudi,2024-03-16 06:00:00,Negative,Violence,High,#BangaloreSecurityAlert,2024-03-15 17:19:44
61,"🚑 Accident on Bannerghatta Road, Bangalore. Expect delays, and drive cautiously. #BangaloreTrafficUpdate",Bannerghatta Road,2024-03-16 07:00:00,Negative,Accident,Medium,#BangaloreTrafficUpdate,2024-03-15 17:20:06
62,"🚦 Traffic disruptions near Hebbal, Bangalore due to an accident. Seek alternative routes if possible. #BangaloreTraffic",Hebbal,2024-03-16 08:00:00,Negative,Accident,Medium,#BangaloreTraffic,2024-03-15 17:20:28
63,"⚠️ Reports of violence in Domlur, Bangalore. Stay indoors and avoid the affected areas. #BangaloreSafetyAlert",Domlur,2024-03-16 09:00:00,Negative,Violence,High,#BangaloreSafetyAlert,2024-03-15 17:20:50
64,"🛑 Alert: Roadblock in Bellandur, Bangalore. Plan your commute accordingly to avoid delays. #BangaloreTrafficAlert",Bellandur,2024-03-16 10:00:00,Neutral,Accident,Low,#BangaloreTrafficAlert,2024-03-15 17:21:11
65,"🆘 Emergency situation in HSR Layout, Bangalore. Take necessary precautions and stay updated on developments. #BangaloreEmergency",HSR Layout,2024-03-16 11:00:00,Negative,Violence,High,#BangaloreEmergency,2024-03-15 17:21:33
66,"🚨 Urgent: Violent clashes reported in BTM Layout, Bangalore. Residents advised to stay indoors. #BangaloreSecurity",BTM Layout,2024-03-16 12:00:00,Negative,Violence,High,#BangaloreSecurity,2024-03-15 17:21:55
67,"⚠️ Unrest in Vyalikaval, Bangalore. Exercise caution and avoid unnecessary travel in the area. #BangaloreSafetyAlert",Vyalikaval,2024-03-16 13:00:00,Negative,Riot,High,#BangaloreSafetyAlert,2024-03-15 17:22:18
68,"🚑 Accident near Wilson Garden, Bangalore causing traffic disruptions. Drive safely and follow traffic updates. #BangaloreTrafficUpdate",Wilson Garden,2024-03-16 14:00:00,Negative,Accident,Medium,#BangaloreTrafficUpdate,2024-03-15 17:22:40
69,"🚧 Road closure in Malleshwaram, Bangalore due to ongoing protests. Plan alternate routes. #BangaloreTrafficAlert",Malleshwaram,2024-03-16 15:00:00,Negative,Riot,High,#BangaloreTrafficAlert,2024-03-15 17:23:03
70,"🛑 Attention: Violent incident reported near Koramangala, Bangalore. Stay away from the area and stay safe. #BangaloreSecurity",Koramangala,2024-03-16 16:00:00,Negative,Violence,High,#BangaloreSecurity,2024-03-15 17:23:04
71,"⚠️ Riots escalating in JP Nagar, Bangalore. Residents advised to stay indoors until further notice. #BangaloreEmergency",JP Nagar,2024-03-16 17:00:00,Negative,Riot,High,#BangaloreEmergency,2024-03-15 17:23:26
72,"🚨 Breaking: Tense situation in Basavanagudi, Bangalore. Authorities responding, follow instructions for your safety. #BangaloreSecurityAlert",Basavanagudi,2024-03-16 18:00:00,Negative,Violence,High,#BangaloreSecurityAlert,2024-03-15 17:23:48
73,"🚑 Accident on Bannerghatta Road, Bangalore. Expect delays, and drive cautiously. #BangaloreTrafficUpdate",Bannerghatta Road,2024-03-16 19:00:00,Negative,Accident,Medium,#BangaloreTrafficUpdate,2024-03-15 17:24:10
74,"🚦 Traffic disruptions near Hebbal, Bangalore due to an accident. Seek alternative routes if possible. #BangaloreTraffic",Hebbal,2024-03-16 20:00:00,Negative,Accident,Medium,#BangaloreTraffic,2024-03-15 17:24:33
75,"⚠️ Reports of violence in Domlur, Bangalore. Stay indoors and avoid the affected areas. #BangaloreSafetyAlert",Domlur,2024-03-16 21:00:00,Negative,Violence,High,#BangaloreSafetyAlert,2024-03-15 17:24:54
76,"🛑 Alert: Roadblock in Bellandur, Bangalore. Plan your commute accordingly to avoid delays. #BangaloreTrafficAlert",Bellandur,2024-03-16 10:00:00,Neutral,Accident,Low,#BangaloreTrafficAlert,2024-03-15 17:25:16
77,"🆘 Emergency situation in HSR Layout, Bangalore. Take necessary precautions and stay updated on developments. #BangaloreEmergency",HSR Layout,2024-03-16 11:00:00,Negative,Violence,High,#BangaloreEmergency,2024-03-15 17:25:40
78,"🚨 Urgent: Violent clashes reported in BTM Layout, Bangalore. Residents advised to stay indoors. #BangaloreSecurity",BTM Layout,2024-03-16 12:00:00,Negative,Violence,High,#BangaloreSecurity,2024-03-15 17:26:02
79,"⚠️ Unrest in Vyalikaval, Bangalore. Exercise caution and avoid unnecessary travel in the area. #BangaloreSafetyAlert",Vyalikaval,2024-03-16 13:00:00,Negative,Riot,High,#BangaloreSafetyAlert,2024-03-15 17:26:04
80,"🚑 Accident near Wilson Garden, Bangalore causing traffic disruptions. Drive safely and follow traffic updates. #BangaloreTrafficUpdate",Wilson Garden,2024-03-16 14:00:00,Negative,Accident,Medium,#BangaloreTrafficUpdate,2024-03-15 17:26:25
81,"🚧 Road closure in Malleshwaram, Bangalore due to ongoing protests. Plan alternate routes. #BangaloreTrafficAlert",Malleshwaram,2024-03-16 15:00:00,Negative,Riot,High,#BangaloreTrafficAlert,2024-03-15 17:26:47
82,"🛑 Attention: Violent incident reported near Koramangala, Bangalore. Stay away from the area and stay safe. #BangaloreSecurity",Koramangala,2024-03-16 16:00:00,Negative,Violence,High,#BangaloreSecurity,2024-03-15 17:27:10
83,"⚠️ Riots escalating in JP Nagar, Bangalore. Residents advised to stay indoors until further notice. #BangaloreEmergency",JP Nagar,2024-03-16 17:00:00,Negative,Riot,High,#BangaloreEmergency,2024-03-15 17:27:31
84,"🚨 Breaking: Tense situation in Basavanagudi, Bangalore. Authorities responding, follow instructions for your safety. #BangaloreSecurityAlert",Basavanagudi,2024-03-16 18:00:00,Negative,Violence,High,#BangaloreSecurityAlert,2024-03-15 17:27:53
85,"🚑 Accident on Bannerghatta Road, Bangalore. Expect delays, and drive cautiously. #BangaloreTrafficUpdate",Bannerghatta Road,2024-03-16 19:00:00,Negative,Accident,Medium,#BangaloreTrafficUpdate,2024-03-15 17:28:15
86,"🚦 Traffic disruptions near Hebbal, Bangalore due to an accident. Seek alternative routes if possible. #BangaloreTraffic",Hebbal,2024-03-16 20:00:00,Negative,Accident,Medium,#BangaloreTraffic,2024-03-15 17:28:38
87,"⚠️ Reports of violence in Domlur, Bangalore. Stay indoors and avoid the affected areas. #BangaloreSafetyAlert",Domlur,2024-03-16 21:00:00,Negative,Violence,High,#BangaloreSafetyAlert,2024-03-15 17:29:00
88,"🛑 Alert: Roadblock in Bellandur, Bangalore. Plan your commute accordingly to avoid delays. #BangaloreTrafficAlert",Bellandur,2024-03-16 22:00:00,Neutral,Accident,Low,#BangaloreTrafficAlert,2024-03-15 17:29:22
89,"🆘 Emergency situation in HSR Layout, Bangalore. Take necessary precautions and stay updated on developments. #BangaloreEmergency",HSR Layout,2024-03-16 23:00:00,Negative,Violence,High,#BangaloreEmergency,2024-03-15 17:29:24
90,"🚨 Urgent: Violent clashes reported in BTM Layout, Bangalore. Residents advised to stay indoors. #BangaloreSecurity",BTM Layout,2024-03-17 00:00:00,Negative,Violence,High,#BangaloreSecurity,2024-03-15 17:29:46
91,"⚠️ Unrest in Vyalikaval, Bangalore. Exercise caution and avoid unnecessary travel in the area. #BangaloreSafetyAlert",Vyalikaval,2024-03-17 01:00:00,Negative,Riot,High,#BangaloreSafetyAlert,2024-03-15 17:30:07
92,"🚑 Accident near Wilson Garden, Bangalore causing traffic disruptions. Drive safely and follow traffic updates. #BangaloreTrafficUpdate",Wilson Garden,2024-03-17 02:00:00,Negative,Accident,Medium,#BangaloreTrafficUpdate,2024-03-15 17:30:30
93,"🚧 Road closure in Malleshwaram, Bangalore due to ongoing protests. Plan alternate routes. #BangaloreTrafficAlert",Malleshwaram,2024-03-17 03:00:00,Negative,Riot,High,#BangaloreTrafficAlert,2024-03-15 17:30:52
94,"🛑 Attention: Violent incident reported near Koramangala, Bangalore. Stay away from the area and stay safe. #BangaloreSecurity",Koramangala,2024-03-17 04:00:00,Negative,Violence,High,#BangaloreSecurity,2024-03-15 17:31:13
95,"⚠️ Riots escalating in JP Nagar, Bangalore. Residents advised to stay indoors until further notice. #BangaloreEmergency",JP Nagar,2024-03-17 05:00:00,Negative,Riot,High,#BangaloreEmergency,2024-03-15 17:31:35
96,"🚨 Breaking: Tense situation in Basavanagudi, Bangalore. Authorities responding, follow instructions for your safety. #BangaloreSecurityAlert",Basavanagudi,2024-03-17 06:00:00,Negative,Violence,High,#BangaloreSecurityAlert,2024-03-15 17:31:57
97,"🚑 Accident on Bannerghatta Road, Bangalore. Expect delays, and drive cautiously. #BangaloreTrafficUpdate",Bannerghatta Road,2024-03-17 07:00:00,Negative,Accident,Medium,#BangaloreTrafficUpdate,2024-03-15 17:32:19
98,🚨 Urgent: Violent incident reported near MG Road. Avoid the area. 🚨 #BangaloreSafety #MGRoadIncident,MG Road,2024-03-13 09:15:00,Negative,Violence,High,"#BangaloreSafety,#MGRoadIncident",2024-03-15 17:32:41
99,Situation escalating in Koramangala with reports of riots. Stay indoors and stay safe! #KoramangalaAlert #BangaloreSafety,Koramangala,2024-03-13 11:30:00,Negative,Riot,High,"#KoramangalaAlert,#BangaloreSafety",2024-03-15 17:33:04
100,⚠️ Accident near Silk Board Junction causing traffic delays. Emergency services on the way. #SilkBoardTraffic #BangaloreTraffic,Silk Board Junction,2024-03-13 14:00:00,Negative,Accident,High,"#SilkBoardTraffic,#BangaloreTraffic",2024-03-15 17:33:05
101,Breaking: Massive protest unfolding at Town Hall. Use alternate routes if possible. #TownHallProtest #BangaloreSafety,Town Hall,2024-03-13 16:45:00,Negative,Riot,High,"#TownHallProtest,#BangaloreSafety",2024-03-15 17:33:27
102,🚧 Road blocked in Indiranagar due to a major accident. Seek alternate routes. #IndiranagarTraffic #BangaloreSafety,Indiranagar,2024-03-14 08:20:00,Negative,Accident,High,"#IndiranagarTraffic,#BangaloreSafety",2024-03-15 17:33:50
103,Unrest reported in Electronic City. Stay indoors and avoid unnecessary travel. #ElectronicCityAlert #BangaloreSafety,Electronic City,2024-03-14 10:05:00,Negative,Riot,High,"#ElectronicCityAlert,#BangaloreSafety",2024-03-15 17:34:12
104,🚦 Traffic jam reported near Brigade Road. Plan your commute accordingly. #BrigadeRoadTraffic #BangaloreTraffic,Brigade Road,2024-03-14 13:15:00,Neutral,Accident,Low,"#BrigadeRoadTraffic,#BangaloreTraffic",2024-03-15 17:34:34
105,Commotion in Whitefield area. Please exercise caution and follow updates for your safety. #WhitefieldAlert #BangaloreSafety,Whitefield,2024-03-14 15:40:00,Negative,Riot,High,"#WhitefieldAlert,#BangaloreSafety",2024-03-15 17:34:56
106,🚑 Emergency services at the scene of a serious accident near Hebbal Flyover. Expect delays. #HebbalAccident #BangaloreTraffic,Hebbal Flyover,2024-03-15 09:45:00,Negative,Accident,High,"#HebbalAccident,#BangaloreTraffic",2024-03-15 17:35:18
107,Disturbance reported in JP Nagar. Residents advised to stay vigilant and report any suspicious activity. #JPNagarAlert #BangaloreSafety,JP Nagar,2024-03-15 11:55:00,Negative,Violence,Medium,"#JPNagarAlert,#BangaloreSafety",2024-03-15 17:35:40
108,⚠️ Alert: Major incident near Yelahanka causing road closures. Seek alternative routes. #YelahankaIncident #BangaloreTraffic,Yelahanka,2024-03-15 14:30:00,Negative,Accident,High,"#YelahankaIncident,#BangaloreTraffic",2024-03-15 17:36:02
109,Protests erupting near Lalbagh. Avoid the area for your safety. #LalbaghProtest #BangaloreSafety,Lalbagh,2024-03-15 17:20:00,Negative,Riot,High,"#LalbaghProtest,#BangaloreSafety",2024-03-15 17:36:04
110,🚨 Breaking News: Violent clash reported in HSR Layout. Stay indoors and stay informed. #HSRLayoutAlert #BangaloreSafety,HSR Layout,2024-03-16 10:10:00,Negative,Violence,High,"#HSRLayoutAlert,#BangaloreSafety",2024-03-15 17:49:22
111,"Accident on Outer Ring Road near Marathahalli. Traffic diverted, expect delays. #MarathahalliTraffic #BangaloreTraffic",Marathahalli,2024-03-16 12:40:00,Negative,Accident,High,"#MarathahalliTraffic,#BangaloreTraffic",2024-03-15 17:49:23
112,🚧 Roadblock reported at Mysore Road. Use alternative routes. #MysoreRoadBlock #BangaloreTraffic,Mysore Road,2024-03-17 08:30:00,Negative,Accident,Medium,"#MysoreRoadBlock,#BangaloreTraffic",2024-03-16 05:35:36
113,Tension rising in Banashankari area. Stay indoors and follow updates for your safety. #BanashankariAlert #BangaloreSafety,Banashankari,2024-03-17 11:20:00,Negative,Violence,High,"#BanashankariAlert,#BangaloreSafety",2024-03-16 05:35:37
114,🚦 Heavy traffic near KR Puram Bridge. Plan your commute accordingly. #KRPuramTraffic #BangaloreTraffic,KR Puram Bridge,2024-03-17 14:45:00,Neutral,Accident,Low,"#KRPuramTraffic,#BangaloreTraffic",2024-03-16 05:35:39
115,Emergency services at the scene of a major accident near Rajajinagar. Avoid the vicinity. #RajajinagarAccident #BangaloreTraffic,Rajajinagar,2024-03-17 17:30:00,Negative,Accident,High,"#RajajinagarAccident,#BangaloreTraffic",2024-03-16 05:36:01
116,🔴 Critical situation in Malleshwaram. Residents advised to stay indoors and secure their homes. #MalleshwaramAlert #BangaloreSafety,Malleshwaram,2024-03-18 09:25:00,Negative,Violence,High,"#MalleshwaramAlert,#BangaloreSafety",2024-03-16 05:36:23
117,Reports of clashes in Basavanagudi. Exercise caution and stay away from affected areas. #BasavanagudiClash #BangaloreSafety,Basavanagudi,2024-03-18 12:15:00,Negative,Violence,High,"#BasavanagudiClash,#BangaloreSafety",2024-03-16 05:36:45
118,🚑 Accident near Jayanagar causing traffic disruptions. Use alternative routes. #JayanagarAccident #BangaloreTraffic,Jayanagar,2024-03-18 15:00:00,Negative,Accident,Medium,"#JayanagarAccident,#BangaloreTraffic",2024-03-16 05:37:08
119,Unrest escalating in Ulsoor. Stay vigilant and avoid unnecessary travel. #UlsoorAlert #BangaloreSafety,Ulsoor,2024-03-19 08:50:00,Negative,Riot,High,"#UlsoorAlert,#BangaloreSafety",2024-03-16 05:37:30
120,🚨 Breaking: Major incident reported near Bellandur. Residents advised to stay indoors. #BellandurAlert #BangaloreSafety,Bellandur,2024-03-19 11:40:00,Negative,Violence,High,"#BellandurAlert,#BangaloreSafety",2024-03-16 05:37:52
121,⚠️ Situation tense in Domlur. Stay updated on local news for safety instructions. #DomlurAlert #BangaloreSafety,Domlur,2024-03-19 14:20:00,Negative,Violence,High,"#DomlurAlert,#BangaloreSafety",2024-03-16 05:38:14
